Archivo_Original;Nuevo_Nombre;Categoria;Resultado;Razon
other\add-default-securitycontext\add-default-securitycontext.yaml;add-default-securitycontext.yaml;other;DESCARTADA;Mutación/Generación
other\add-emptydir-sizelimit\add-emptydir-sizelimit.yaml;add-emptydir-sizelimit.yaml;other;DESCARTADA;Mutación/Generación
other\add-env-vars-from-cm\add-env-vars-from-cm.yaml;add-env-vars-from-cm.yaml;other;DESCARTADA;Mutación/Generación
other\add-image-as-env-var\add-image-as-env-var.yaml;add-image-as-env-var.yaml;other;DESCARTADA;Mutación/Generación
other\add-imagepullsecrets\add-imagepullsecrets.yaml;add-imagepullsecrets.yaml;other;DESCARTADA;Mutación/Generación
other\add-imagepullsecrets-for-containers-and-initcontainers\add-imagepullsecrets-for-containers-and-initcontainers.yaml;add-imagepullsecrets-for-containers-and-initcontainers.yaml;other;DESCARTADA;Mutación/Generación
other\add-labels\add-labels.yaml;add-labels.yaml;other;DESCARTADA;Mutación/Generación
other\add-ndots\add-ndots.yaml;add-ndots.yaml;other;DESCARTADA;Mutación/Generación
other\add-node-affinity\add-node-affinity.yaml;add-node-affinity.yaml;other;DESCARTADA;Mutación/Generación
other\add-node-labels-pod\add-node-labels-pod.yaml;add-node-labels-pod.yaml;other;DESCARTADA;Mutación/Generación
other\add-nodeSelector\add-nodeSelector.yaml;add-nodeSelector.yaml;other;DESCARTADA;Mutación/Generación
other\add-pod-priorityclassname\add-pod-priorityclassname.yaml;add-pod-priorityclassname.yaml;other;DESCARTADA;Mutación/Generación
other\add-pod-proxies\add-pod-proxies.yaml;add-pod-proxies.yaml;other;DESCARTADA;Mutación/Generación
other\add-tolerations\add-tolerations.yaml;add-tolerations.yaml;other;DESCARTADA;Mutación/Generación
other\add-ttl-jobs\add-ttl-jobs.yaml;add-ttl-jobs.yaml;other;DESCARTADA;Mutación/Generación
other\add-volume-deployment\add-volume-deployment.yaml;add-volume-deployment.yaml;other;DESCARTADA;Mutación/Generación
other\advanced-restrict-image-registries\advanced-restrict-image-registries.yaml;advanced-restrict-image-registries.yaml;other;DESCARTADA;API Call / Contexto
other\advertise-node-extended-resources\advertise-node-extended-resources.yaml;advertise-node-extended-resources.yaml;other;DESCARTADA;Mutación/Generación
other\allowed-annotations\allowed-annotations.yaml;allowed-annotations.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\allowed-base-images\allowed-base-images.yaml;allowed-base-images.yaml;other;DESCARTADA;API Call / Contexto
other\allowed-image-repos\allowed-image-repos.yaml;allowed-image-repos.yaml;other;DESCARTADA;Variables dinámicas complejas
other\allowed-label-changes\allowed-label-changes.yaml;allowed-label-changes.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\allowed-pod-priorities\allowed-pod-priorities.yaml;allowed-pod-priorities.yaml;other;DESCARTADA;API Call / Contexto
other\always-pull-images\always-pull-images.yaml;always-pull-images.yaml;other;DESCARTADA;Mutación/Generación
other\annotate-base-images\annotate-base-images.yaml;annotate-base-images.yaml;other;DESCARTADA;Mutación/Generación
other\apply-pss-restricted-profile\apply-pss-restricted-profile.yaml;apply-pss-restricted-profile.yaml;other;DESCARTADA;Mutación/Generación
other\audit-event-on-delete\audit-event-on-delete.yaml;audit-event-on-delete.yaml;other;DESCARTADA;Mutación/Generación
other\audit-event-on-exec\audit-event-on-exec.yaml;audit-event-on-exec.yaml;other;DESCARTADA;Mutación/Generación
other\block-cluster-admin-from-ns\block-cluster-admin-from-ns.yaml;block-cluster-admin-from-ns.yaml;other;DESCARTADA;Variables dinámicas complejas
other\block-ephemeral-containers\block-ephemeral-containers.yaml;block-ephemeral-containers.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\block-images-with-volumes\block-images-with-volumes.yaml;block-images-with-volumes.yaml;other;DESCARTADA;Estructura foreach
other\block-kubectl-cp\block-kubectl-cp.yaml;block-kubectl-cp.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\block-large-images\block-large-images.yaml;block-large-images.yaml;other;DESCARTADA;Estructura foreach
other\block-pod-exec-by-namespace\block-pod-exec-by-namespace.yaml;block-pod-exec-by-namespace.yaml;other;DESCARTADA;Variables dinámicas complejas
other\block-pod-exec-by-namespace-label\block-pod-exec-by-namespace-label.yaml;block-pod-exec-by-namespace-label.yaml;other;DESCARTADA;API Call / Contexto
other\block-pod-exec-by-pod-and-container\block-pod-exec-by-pod-and-container.yaml;block-pod-exec-by-pod-and-container.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\block-pod-exec-by-pod-label\block-pod-exec-by-pod-label.yaml;block-pod-exec-by-pod-label.yaml;other;DESCARTADA;API Call / Contexto
other\block-pod-exec-by-pod-name\block-pod-exec-by-pod-name.yaml;block-pod-exec-by-pod-name.yaml;other;DESCARTADA;Variables dinámicas complejas
other\block-stale-images\block-stale-images.yaml;block-stale-images.yaml;other;DESCARTADA;Estructura foreach
other\block-updates-deletes\block-updates-deletes.yaml;block-updates-deletes.yaml;other;DESCARTADA;Variables dinámicas complejas
other\check-env-vars\check-env-vars.yaml;check-env-vars.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\check-hpa-exists\check-hpa-exists.yaml;check-hpa-exists.yaml;other;DESCARTADA;API Call / Contexto
other\check-ingress-nginx-controller-version-and-annotation-policy\check-ingress-nginx-controller-version-and-annotation-policy.yaml;check-ingress-nginx-controller-version-and-annotation-policy.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
other\check-node-for-cve-2022-0185\check-node-for-cve-2022-0185.yaml;check-node-for-cve-2022-0185.yaml;other;DESCARTADA;Variables dinámicas complejas
other\check-nvidia-gpu\check-nvidia-gpu.yaml;check-nvidia-gpu.yaml;other;DESCARTADA;Estructura foreach
other\check-serviceaccount\check-serviceaccount.yaml;check-serviceaccount.yaml;other;DESCARTADA;Variables dinámicas complejas
other\check-serviceaccount-secrets\check-serviceaccount-secrets.yaml;check-serviceaccount-secrets.yaml;other;ACEPTADA;Estática Pura (Pattern Simple)
