Feature,Midle,Turned,Value
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_values_StringValue,ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchExpressions_values_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchLabels,ClusterPolicy_spec_rules_match_any_resources_namespaceSelector_matchLabels,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaces,ClusterPolicy_spec_rules_match_any_resources_namespaces,namespaces,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_namespaces_StringValue,ClusterPolicy_spec_rules_match_any_resources_namespaces_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations,ClusterPolicy_spec_rules_match_any_resources_operations,operations,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations_CREATE,ClusterPolicy_spec_rules_match_any_resources_operations_CREATE,CREATE,CREATE
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations_CONNECT,ClusterPolicy_spec_rules_match_any_resources_operations_CONNECT,CONNECT,CONNECT
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations_UPDATE,ClusterPolicy_spec_rules_match_any_resources_operations_UPDATE,UPDATE,UPDATE
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_operations_DELETE,ClusterPolicy_spec_rules_match_any_resources_operations_DELETE,DELETE,DELETE
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector,ClusterPolicy_spec_rules_match_any_resources_selector,selector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions,ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_key,ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_operator,ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_operator,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_values,ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_values,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_values_StringValue,ClusterPolicy_spec_rules_match_any_resources_selector_matchExpressions_values_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_resources_selector_matchLabels,ClusterPolicy_spec_rules_match_any_resources_selector_matchLabels,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_roles,ClusterPolicy_spec_rules_match_any_roles,roles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_roles_StringValue,ClusterPolicy_spec_rules_match_any_roles_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects,ClusterPolicy_spec_rules_match_any_subjects,subjects,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects_kind,ClusterPolicy_spec_rules_match_any_subjects_kind,kind,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects_name,ClusterPolicy_spec_rules_match_any_subjects_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects_apiGroup,ClusterPolicy_spec_rules_match_any_subjects_apiGroup,apiGroup,
kyverno_io_v1_ClusterPolicy_spec_rules_match_any_subjects_namespace,ClusterPolicy_spec_rules_match_any_subjects_namespace,namespace,
kyverno_io_v1_ClusterPolicy_spec_rules_match_clusterRoles,ClusterPolicy_spec_rules_match_clusterRoles,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_clusterRoles_StringValue,ClusterPolicy_spec_rules_match_clusterRoles_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources,ClusterPolicy_spec_rules_match_resources,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_annotations,ClusterPolicy_spec_rules_match_resources_annotations,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_kinds,ClusterPolicy_spec_rules_match_resources_kinds,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_kinds_StringValue,ClusterPolicy_spec_rules_match_resources_kinds_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_name,ClusterPolicy_spec_rules_match_resources_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_names,ClusterPolicy_spec_rules_match_resources_names,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_names_StringValue,ClusterPolicy_spec_rules_match_resources_names_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector,ClusterPolicy_spec_rules_match_resources_namespaceSelector,namespaceSelector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions,ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_key,ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_operator,ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_operator,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_values,ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_values,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_values_StringValue,ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchExpressions_values_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchLabels,ClusterPolicy_spec_rules_match_resources_namespaceSelector_matchLabels,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaces,ClusterPolicy_spec_rules_match_resources_namespaces,namespaces,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_namespaces_StringValue,ClusterPolicy_spec_rules_match_resources_namespaces_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations,ClusterPolicy_spec_rules_match_resources_operations,operations,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations_CREATE,ClusterPolicy_spec_rules_match_resources_operations_CREATE,CREATE,CREATE
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations_CONNECT,ClusterPolicy_spec_rules_match_resources_operations_CONNECT,CONNECT,CONNECT
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations_UPDATE,ClusterPolicy_spec_rules_match_resources_operations_UPDATE,UPDATE,UPDATE
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_operations_DELETE,ClusterPolicy_spec_rules_match_resources_operations_DELETE,DELETE,DELETE
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector,ClusterPolicy_spec_rules_match_resources_selector,selector,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions,ClusterPolicy_spec_rules_match_resources_selector_matchExpressions,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_key,ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_operator,ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_operator,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_values,ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_values,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_values_StringValue,ClusterPolicy_spec_rules_match_resources_selector_matchExpressions_values_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_resources_selector_matchLabels,ClusterPolicy_spec_rules_match_resources_selector_matchLabels,matchLabels,
kyverno_io_v1_ClusterPolicy_spec_rules_match_roles,ClusterPolicy_spec_rules_match_roles,roles,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_roles_StringValue,ClusterPolicy_spec_rules_match_roles_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects,ClusterPolicy_spec_rules_match_subjects,subjects,-
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects_kind,ClusterPolicy_spec_rules_match_subjects_kind,kind,
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects_name,ClusterPolicy_spec_rules_match_subjects_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects_apiGroup,ClusterPolicy_spec_rules_match_subjects_apiGroup,apiGroup,
kyverno_io_v1_ClusterPolicy_spec_rules_match_subjects_namespace,ClusterPolicy_spec_rules_match_subjects_namespace,namespace,
kyverno_io_v1_ClusterPolicy_spec_rules_name,ClusterPolicy_spec_rules_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_celPreconditions,ClusterPolicy_spec_rules_celPreconditions,celPreconditions,-
kyverno_io_v1_ClusterPolicy_spec_rules_celPreconditions_expression,ClusterPolicy_spec_rules_celPreconditions_expression,expression,
kyverno_io_v1_ClusterPolicy_spec_rules_celPreconditions_name,ClusterPolicy_spec_rules_celPreconditions_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_context,ClusterPolicy_spec_rules_context,context,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_name,ClusterPolicy_spec_rules_context_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall,ClusterPolicy_spec_rules_context_apiCall,apiCall,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_data,ClusterPolicy_spec_rules_context_apiCall_data,data,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_data_key,ClusterPolicy_spec_rules_context_apiCall_data_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_data_value,ClusterPolicy_spec_rules_context_apiCall_data_value,value,preserveUnknownFields
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_default,ClusterPolicy_spec_rules_context_apiCall_default,default,preserveUnknownFields
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_jmesPath,ClusterPolicy_spec_rules_context_apiCall_jmesPath,jmesPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_method,ClusterPolicy_spec_rules_context_apiCall_method,method,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_method_GET,ClusterPolicy_spec_rules_context_apiCall_method_GET,GET,GET
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_method_POST,ClusterPolicy_spec_rules_context_apiCall_method_POST,POST,POST
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service,ClusterPolicy_spec_rules_context_apiCall_service,service,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_url,ClusterPolicy_spec_rules_context_apiCall_service_url,url,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_caBundle,ClusterPolicy_spec_rules_context_apiCall_service_caBundle,caBundle,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_headers,ClusterPolicy_spec_rules_context_apiCall_service_headers,headers,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_headers_key,ClusterPolicy_spec_rules_context_apiCall_service_headers_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_service_headers_value,ClusterPolicy_spec_rules_context_apiCall_service_headers_value,value,
kyverno_io_v1_ClusterPolicy_spec_rules_context_apiCall_urlPath,ClusterPolicy_spec_rules_context_apiCall_urlPath,urlPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_configMap,ClusterPolicy_spec_rules_context_configMap,configMap,
kyverno_io_v1_ClusterPolicy_spec_rules_context_configMap_name,ClusterPolicy_spec_rules_context_configMap_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_context_configMap_namespace,ClusterPolicy_spec_rules_context_configMap_namespace,namespace,
kyverno_io_v1_ClusterPolicy_spec_rules_context_globalReference,ClusterPolicy_spec_rules_context_globalReference,globalReference,
kyverno_io_v1_ClusterPolicy_spec_rules_context_globalReference_name,ClusterPolicy_spec_rules_context_globalReference_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_context_globalReference_jmesPath,ClusterPolicy_spec_rules_context_globalReference_jmesPath,jmesPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry,ClusterPolicy_spec_rules_context_imageRegistry,imageRegistry,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_reference,ClusterPolicy_spec_rules_context_imageRegistry_reference,reference,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials,imageRegistryCredentials,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_allowInsecureRegistry,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_allowInsecureRegistry,allowInsecureRegistry,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers,providers,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_default,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_default,default,default
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_amazon,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_amazon,amazon,amazon
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_azure,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_azure,azure,azure
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_google,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_google,google,google
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_github,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_providers_github,github,github
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_secrets,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_secrets,secrets,-
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_secrets_StringValue,ClusterPolicy_spec_rules_context_imageRegistry_imageRegistryCredentials_secrets_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_context_imageRegistry_jmesPath,ClusterPolicy_spec_rules_context_imageRegistry_jmesPath,jmesPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_variable,ClusterPolicy_spec_rules_context_variable,variable,
kyverno_io_v1_ClusterPolicy_spec_rules_context_variable_default,ClusterPolicy_spec_rules_context_variable_default,default,preserveUnknownFields
kyverno_io_v1_ClusterPolicy_spec_rules_context_variable_jmesPath,ClusterPolicy_spec_rules_context_variable_jmesPath,jmesPath,
kyverno_io_v1_ClusterPolicy_spec_rules_context_variable_value,ClusterPolicy_spec_rules_context_variable_value,value,preserveUnknownFields
kyverno_io_v1_ClusterPolicy_spec_rules_exclude,ClusterPolicy_spec_rules_exclude,exclude,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all,ClusterPolicy_spec_rules_exclude_all,all,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_clusterRoles,ClusterPolicy_spec_rules_exclude_all_clusterRoles,clusterRoles,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_clusterRoles_StringValue,ClusterPolicy_spec_rules_exclude_all_clusterRoles_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources,ClusterPolicy_spec_rules_exclude_all_resources,resources,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_annotations,ClusterPolicy_spec_rules_exclude_all_resources_annotations,annotations,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_kinds,ClusterPolicy_spec_rules_exclude_all_resources_kinds,kinds,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_kinds_StringValue,ClusterPolicy_spec_rules_exclude_all_resources_kinds_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_name,ClusterPolicy_spec_rules_exclude_all_resources_name,name,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_names,ClusterPolicy_spec_rules_exclude_all_resources_names,names,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_names_StringValue,ClusterPolicy_spec_rules_exclude_all_resources_names_StringValue,StringValue,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector,ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector,namespaceSelector,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions,ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions,matchExpressions,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_key,ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_key,key,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_operator,ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_operator,operator,
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_values,ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_values,values,-
kyverno_io_v1_ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_values_StringValue,ClusterPolicy_spec_rules_exclude_all_resources_namespaceSelector_matchExpressions_values_StringValue,StringValue,
