Archivo;Categoria;Resultado;Razon
add-emptydir-sizelimit.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-env-vars-from-cm.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-image-as-env-var.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-imagepullsecrets.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-imagepullsecrets-for-containers-and-initcontainers.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-labels.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-ndots.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-node-affinity.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-node-labels-pod.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-nodeSelector.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-pod-priorityclassname.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-pod-proxies.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-tolerations.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-ttl-jobs.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
add-volume-deployment.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
advanced-restrict-image-registries.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
advertise-node-extended-resources.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
allowed-annotations.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
allowed-base-images.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
allowed-image-repos.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\allowed-label-changes\allowed-label-changes.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_batch_v1_Job__request_operation_', 'io_k8s_api_batch_v1_CronJob__request_operation_', 'io_k8s_api_core_v1_Pod__request_operation_']
allowed-pod-priorities.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
always-pull-images.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
annotate-base-images.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
apply-pss-restricted-profile.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
audit-event-on-delete.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
audit-event-on-exec.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-cluster-admin-from-ns.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\block-ephemeral-containers\block-ephemeral-containers.yaml;other;ACEPTADA;Semántica Correcta
block-images-with-volumes.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\block-kubectl-cp\block-kubectl-cp.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_exec__request_operation_']
block-large-images.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\block-pod-exec-by-namespace\block-pod-exec-by-namespace.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_exec__request_operation_']
other\block-pod-exec-by-namespace-label\block-pod-exec-by-namespace-label.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_exec__request_operation_']
other\block-pod-exec-by-pod-and-container\block-pod-exec-by-pod-and-container.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_exec__request_operation_', 'io_k8s_api_core_v1_Pod_exec__request_name']
other\block-pod-exec-by-pod-label\block-pod-exec-by-pod-label.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_exec__request_operation_']
other\block-pod-exec-by-pod-name\block-pod-exec-by-pod-name.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_exec__request_operation_']
block-stale-images.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
block-updates-deletes.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\check-env-vars\check-env-vars.yaml;other;ACEPTADA;Semántica Correcta
check-hpa-exists.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-ingress-nginx-controller-version-and-annotation-policy.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-node-for-cve-2022-0185.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-nvidia-gpu.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\check-serviceaccount\check-serviceaccount.yaml;other;ACEPTADA;Semántica Correcta
artifacthub-pkg.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-serviceaccount-secrets.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-subjectaccessreview.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
artifact-hub.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
check-vpa-configuration.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
concatenate-configmaps.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
copy-namespace-labels.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
cordon-and-drain-node.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
create-default-pdb.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
create-pod-antiaffinity.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
deny-commands-in-exec-probe.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
artifacthub-pkg.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\deny-secret-service-account-token-type\deny-secret-service-account-token-type.yaml;other;ACEPTADA;Semántica Correcta
artifact-hub.yml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
deployment-replicas-higher-than-pdb.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disable-automountserviceaccounttoken.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
disable-service-discovery.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\disallow-all-secrets\disallow-all-secrets.yaml;other;ACEPTADA;Semántica Correcta
other\disallow-localhost-services\disallow-localhost-services.yaml;other;ACEPTADA;Semántica Correcta
other\disallow-secrets-from-env-vars\disallow-secrets-from-env-vars.yaml;other;ACEPTADA;Semántica Correcta
dns-policy-and-dns-config.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\docker-socket-requires-label\docker-socket-requires-label.yaml;other;ACEPTADA;Semántica Correcta
enforce-pod-duration.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\enforce-readwriteonce-pod\enforce-readwriteonce-pod.yaml;other;ACEPTADA;Semántica Correcta
enforce-resources-as-ratio.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
ensure-probes-different.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
ensure-production-matches-staging.yaml;Unknown;DESCARTADA;Error Traductor: argument of type 'int' is not iterable
ensure-readonly-hostpath.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\exclude-namespaces-dynamically\exclude-namespaces-dynamically.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_apps_v1_StatefulSet_spec_template_metadata_labels_foo', 'io_k8s_api_batch_v1_CronJob_spec_jobTemplate_spec_template_metadata_labels_foo', 'io_k8s_api_apps_v1_DaemonSet_spec_template_metadata_labels_foo']
expiration-for-policyexceptions.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\forbid-cpu-limits\forbid-cpu-limits.yaml;other;DESCARTADA;Feature fantasma: ['io_k8s_api_core_v1_Pod_spec_containers_resources_limits_cpu']
generate-networkpolicy-existing.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
get-debug-information.yaml;Unknown;DESCARTADA;Sin reglas estáticas detectadas
other\imagepullpolicy-always\imagepullpolicy-always.yaml;other;ACEPTADA;Semántica Correcta
